number,country
2,アイスランド
3,アイルランド
4,アゼルバイジャン
5,アフガニスタン
6,アメリカ
7,アメリカ軍人
8,アラブ
9,アルジェリア
10,アルゼンチン
11,アルバニア
12,アルメニア
13,アンゴラ
14,アンチグアバーブーダ
15,アンドラ
16,イエメン
17,イギリス
18,イスラエル
19,イタリア
20,イラク
21,イラン
22,インド
23,インドネシア
24,ウガンダ
25,ウクライナ
26,ウズベキスタン
27,ウルグアイ
28,エクアドル
29,エジプト
30,エストニア
31,エチオピア
32,エリトリア
33,エルサルバドル
34,オーストラリア
35,オーストリア
36,オマーン
37,オランダ
38,ガイアナ
39,カザフスタン
40,カタール
41,ガーナ
42,カナダ
43,カーボベルデ
44,ガボン
45,カメルーン
46,韓国
47,ガンビア
48,カンボジア
49,ギニア
50,ギニアビサオ
51,キプロス
52,キューバ
53,ギリシャ
54,キリバス
55,キルギス
56,グアマテラ
57,クウエート
58,グルジア
59,グレナダ
60,クロアチア
61,ケニア
62,コスタリカ
63,コートジボアール
64,コモロ
65,コロンビア
66,コンゴ
67,コンゴ民主
68,サウジアラビア
69,サモア
70,サントメ
71,ザンビア
72,サンマリノ
73,シエラレオネ
74,ジブチ
75,ジャマイカ
76,シリア
77,シンガポール
78,ジンバブエ
79,スイス
80,スウェーデン
81,スーダン
82,スペイン
83,スリナム
84,スリランカ
85,スロバキア
86,スロベニア
87,スワジランド
88,セイシエル
89,赤道ギニア
90,セネガル
91,セルビア
92,セントクリストファー
93,セントビンセント
94,セントルシア
95,ソマリア
96,ソロモン諸島
97,タイ
98,台湾
99,タジキスタン
100,タンザニア
101,チェコ
102,チャド
103,中央アフリカ
104,中近東その他
105,中国
106,チュニジア
107,朝鮮
108,チリ
109,ツバル
110,デンマーク
111,ドイツ
112,トーゴ
113,ドミニカ
114,ドミニカ共和国
115,トリニダードトバゴ
116,トルクメニスタン
117,トルコ
118,トンガ
119,ナイジェリア
120,ナウル
121,ナミビア
122,ニカラグア
123,ニジェール
124,ニュージーランド
125,ネパール
126,ノルウェー
127,ハイチ
128,パキスタン
129,バチカン
130,パナマ
131,バヌアツ
132,バハマ
133,パプアニューギニア
134,パラオ
135,パラグアイ
136,バルバドス
137,バーレーン
138,ハンガリー
139,バングラデシュ
140,フィジー
141,フィリピン
142,フィンランド
143,ブータン
144,ブラジル
145,フランス
146,ブルガリア
147,ブルキナファソ
148,ブルネイ
149,ブルンジ
150,ベトナム
151,ベナン
152,ベネズエラ
153,ベラルーシ
154,ベリーズ
155,ペルー
156,ベルギー
157,ボスニアヘルツェゴビナ
158,ボツワナ
159,ポーランド
160,ボリビア
161,ポルトガル
162,香港
163,ホンジュラス
164,マカオ
165,マケドニア
166,マーシャル諸島共和国
167,マダガスカル
168,マラウイ
169,マリ
170,マルタ
171,マレーシア
172,ミクロネシア連邦
173,南アフリカ
174,ミャンマー
175,メキシコ
176,モザンピーク
177,モナコ
178,モーリシャス
179,モーリタニア
180,モルジブ
181,モルドバ
182,モロッコ
183,モンゴル
184,モンテネグロ
185,ユーゴスラビア
186,ヨルダン
187,ラオス
188,ラトビア
189,リトアニア
190,リビア
191,リヒテンシュタイン
192,リベリア
193,ルクセンブルク
194,ルーマニア
195,ルワンダ
196,レソト
197,レバノン
198,ロシア
199,アジアその他
200,アフリカその他
201,アメリカその他
202,オセアニアその他
203,ヨーロッパその他
